Formula,Avg Voltage (V),Capacity (mAh/g),Energy Density (Wh/L),Gravimetric Energy (Wh/kg),Stability Charge (eV),Stability Discharge (eV),capacity_score,energy_score,voltage_score,stability_score,Overall Score,Rank,Supply Chain Score,Recyclability Score,CathodeAI Score,CathodeAI Rank,Solid State Score,SS Compatibility,CathodeAI Final Score,Final Rank,Cost per kWh ($/kWh),Cost Score,CathodeAI Economic Score,Economic Rank,Thermal Safety Score,Onset Temp (°C),CathodeAI Safety Score,Safety Rank,Estimated Cycles,Cycle Life Category,Cycle Life Score,CathodeAI Complete Score
Li0-2MnCu(PO4)2,3.865,166.31,2281.58,642.77,0.0075,0.0327,0.14949616618875117,0.2372903566666736,1.0,0.9948962750425311,0.5577955898035695,118,0.7,0.5833333333333334,0.7365796661152912,34,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.789263732892233,11,8.0,0.8222222222222222,0.7941176710426087,26,0.8,450,0.7891700218913968,22,1195,Good (1000-2000),0.48069187449718426,0.7716299823380603
Li0-4MnCu3(PO4)4,4.129,164.12,2484.1,677.61,0.0391,0.0432,0.1475275737772704,0.2583529724996204,1.0,0.9895513292537389,0.5628204845822645,96,0.7,0.5833333333333334,0.7403249118917833,30,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7922599295134266,12,8.0,0.8222222222222222,0.796739343086153,21,0.8,450,0.7914171693572922,20,977,Moderate (500-1000),0.3930008045052293,0.7691180517267087
Li1-5Mn2(PO4)3,3.862,249.61,2813.78,963.9,0.0159,0.0392,0.22437458987658096,0.29264056477596795,1.0,0.9930045958916284,0.5928365062856799,33,0.7,0.44999999999999996,0.7293636646344497,40,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7834909317075598,13,8.0,0.8222222222222222,0.7893045652441147,33,0.85,450,0.789840421002892,21,1156,Good (1000-2000),0.4650040225261464,0.7689042556657544
Li3-5Cu(PO4)2,3.766,186.0,2028.75,700.52,0.0546,0.0322,0.16719551987918774,0.21099536772215485,1.0,0.9889800167584999,0.5534444928002183,149,0.75,0.575,0.7437532941925729,23,1.0,['✅ Voltage within sulfide electrolyte window'],0.7950026353540582,14,12.0,0.7333333333333334,0.8001808773633724,18,0.9,550,0.7970853098488769,12,644,Moderate (500-1000),0.2590506838294449,0.768787514621092
Li3-5Cu(PO4)2,3.754,186.0,1981.55,698.29,0.056,0.0349,0.16719551987918774,0.20608644283910582,1.0,0.988459487596171,0.5518937359609543,157,0.75,0.575,0.742597455959453,27,1.0,['✅ Voltage within sulfide electrolyte window'],0.7940779647675624,15,12.0,0.7333333333333334,0.7993717906001885,19,0.9,550,0.7963918069090051,14,638,Moderate (500-1000),0.25663716814159293,0.7680889197201395
Li0-4Mn3CuO8,3.317,279.1,3977.94,925.65,0.063,0.0922,0.25088316988323284,0.41371628494228896,0.7,0.9802960668308661,0.5438800879781247,205,0.7,0.725,0.7616245784000585,10,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.8092996627200468,16,8.0,0.8222222222222222,0.8187622048800409,9,0.7,300,0.7941969692622572,15,689,Moderate (500-1000),0.27715205148833466,0.7675171139966681
Li0-2Cu(PO3)3,3.624,170.52,1882.69,617.98,0.0126,0.0881,0.15328053790214569,0.195804741272618,1.0,0.9872152959398726,0.5451438512483027,198,0.75,0.575,0.7375665093774368,33,1.0,['✅ Voltage within sulfide electrolyte window'],0.7900532075019495,17,12.0,0.7333333333333334,0.7958501279927772,23,0.9,550,0.7933732389597955,16,622,Moderate (500-1000),0.250201126307321,0.7652516443374179
Li0-6Mn3(PO4)4,4.151,274.26,3209.37,1138.33,0.1334,0.0811,0.24653249076379585,0.33378297143879343,1.0,0.972767437726938,0.6076831297816276,20,0.7,0.44999999999999996,0.7404294195193322,29,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7923435356154657,18,8.0,0.8222222222222222,0.7970505936635325,20,0.85,450,0.7964798739338215,13,668,Moderate (500-1000),0.26870474658085275,0.7646221693109309
Li0-1CuO2,4.576,261.51,5212.54,1196.79,0.2856,0.0,0.2350715075462709,0.5421179514806856,0.7,0.9637407003021609,0.5759643673760976,58,0.75,0.85,0.8292882158391002,3,0.8,['❌ Voltage exceeds sulfide electrolyte window'],0.8234305726712802,19,12.0,0.7333333333333334,0.8369303225159416,6,0.75,400,0.8034062628367935,7,192,Poor (<500),0.07723250201126307,0.7643390663534466
Li2.5-5Mn3O8,3.621,204.58,2823.87,740.89,0.0838,0.0384,0.1838970938542163,0.2936899514723655,1.0,0.9844856917959526,0.5817541126746566,44,0.7,0.6,0.7586035338868193,11,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.8068828271094555,20,8.0,0.8222222222222222,0.8135224737207735,11,0.7,300,0.7923843425543137,17,755,Moderate (500-1000),0.30370072405470633,0.7642090253683672
Li0-2Cu(PO3)3,3.533,170.52,1794.32,602.46,0.0196,0.1063,0.15328053790214569,0.18661402746085862,1.0,0.9840159459665337,0.541906734608774,212,0.75,0.575,0.7351537628511593,36,1.0,['✅ Voltage within sulfide electrolyte window'],0.7881230102809276,21,12.0,0.7333333333333334,0.794161205424383,25,0.9,550,0.7919255910440289,19,583,Moderate (500-1000),0.2345132743362832,0.7632608784757272
Li1-2CuPO4,3.782,155.46,1947.74,588.03,0.1397,0.0495,0.13974309419579853,0.2025701133836845,1.0,0.9759794835335043,0.5421037300940806,209,0.75,0.575,0.7353005911016655,35,1.0,['✅ Voltage within sulfide electrolyte window'],0.7882404728813324,22,12.0,0.7333333333333334,0.7942639851997373,24,0.9,550,0.7920136879943326,18,484,Poor (<500),0.19469026548672566,0.7613431421585023
Li0-6Cu9(PO4)8,4.208,117.09,1837.36,492.72,0.013,0.0251,0.10525227646588223,0.191090301337266,1.0,0.9951628875403092,0.5329145926486967,240,0.75,0.575,0.7284515764013284,42,1.0,['⚠️ Voltage near sulfide electrolyte limit'],0.7827612611210628,23,12.0,0.7333333333333334,0.7858982463380728,36,0.9,550,0.7879042791741304,26,648,Moderate (500-1000),0.2606596942880129,0.7612171062483982
Li0-8TiMn3(PO4)6,3.877,255.85,2697.83,991.87,0.0518,0.0833,0.22998372989833432,0.28058145799229134,1.0,0.9828479293096006,0.5890975592687111,36,0.7,0.43333333333333335,0.7224102181165508,49,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides', '⚠️ Ti may cause interfacial resistance with sulfides']",0.7779281744932407,24,8.0,0.8222222222222222,0.7804490574434904,48,0.85,450,0.7856683530921525,28,948,Moderate (500-1000),0.3813354786806114,0.7608274385478614
Li0-0.5CuO,3.107,161.42,2656.51,501.52,0.1795,0.0049,0.14510054203708864,0.2762840686667069,0.7,0.976588883528426,0.47564868863854803,435,0.75,0.85,0.7545191134689001,14,1.0,['✅ Voltage within sulfide electrolyte window'],0.8036152907751202,25,12.0,0.7333333333333334,0.8110205222853729,12,0.75,400,0.7885448014146734,24,378,Poor (<500),0.15205148833467416,0.7606954644845171
Li0-0.5CuO,3.001,161.42,2567.61,484.42,0.1528,0.0047,0.14510054203708864,0.2670382334526591,0.7,0.9800040626666328,0.47338721494506475,441,0.75,0.85,0.752833550850738,17,1.0,['✅ Voltage within sulfide electrolyte window'],0.8022668406805904,26,12.0,0.7333333333333334,0.8098406284526595,13,0.75,400,0.7875334638437761,27,411,Poor (<500),0.16532582461786002,0.7605163999895953
Li0-2MnP2O7,3.966,220.8,2440.96,875.69,0.0065,0.0294,0.19847726230819707,0.2538662983586303,1.0,0.995442195871315,0.5750955344653356,60,0.7,0.44999999999999996,0.7161406415250458,61,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7729125132200367,27,8.0,0.8222222222222222,0.780048449067532,50,0.8,450,0.7769066071372497,37,1206,Good (1000-2000),0.48511665325824616,0.7582983756476573
Li0-2MnP2O7,3.88,220.8,2472.29,856.81,0.0061,0.0433,0.19847726230819707,0.2571247012523999,1.0,0.9937282583855979,0.5758159647106089,59,0.7,0.44999999999999996,0.7166776056710031,60,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7733420845368024,28,8.0,0.8222222222222222,0.7804243239697021,49,0.8,450,0.7772287856248241,36,1171,Good (1000-2000),0.47103781174577636,0.7578629156450126
Li0-2MnP2O7,4.028,220.8,2566.17,889.39,0.0081,0.0203,0.19847726230819707,0.2668884696426677,1.0,0.9963943833633802,0.5791450139743566,48,0.7,0.44999999999999996,0.7191588730893077,55,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.775327098471446,29,8.0,0.8222222222222222,0.7821612111625152,44,0.8,450,0.7787175460758069,32,1103,Good (1000-2000),0.4436846339501207,0.7577358904643821
Li0-2MnP2O7,4.109,220.8,2457.49,907.3,0.0077,0.0066,0.19847726230819707,0.25558546209415567,1.0,0.9981844958484626,0.5760226285825654,57,0.7,0.44999999999999996,0.7168316401389248,59,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7734653121111397,30,8.0,0.8222222222222222,0.7805321480972472,47,0.8,450,0.777321206305577,35,1136,Good (1000-2000),0.4569589702333065,0.7572359908033499
Li0-2MnP2O7,4.027,220.8,2515.33,889.1,0.0093,0.0216,0.19847726230819707,0.2616009751288073,1.0,0.9960769875326918,0.5775111562455952,52,0.7,0.44999999999999996,0.7179410965929764,57,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7743528772743811,31,8.0,0.8222222222222222,0.7813087676150833,46,0.8,450,0.7779868801780081,34,1097,Good (1000-2000),0.4412711182622687,0.7570063264318239
Li0-2MnP2O7,3.862,220.8,2367.03,852.65,0.0011,0.0423,0.19847726230819707,0.24617738275261727,1.0,0.99449000837925,0.5726460316597219,65,0.7,0.44999999999999996,0.7143149336363699,69,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7714519469090959,32,8.0,0.8222222222222222,0.7787704535454589,54,0.8,450,0.7758111824040441,39,1187,Good (1000-2000),0.4774738535800483,0.7570033817194095
Li1-5Mn3(PO4)4,4.292,185.03,2522.74,794.1,0.0617,0.012,0.16632358625401134,0.2623716347343876,1.0,0.9906431709113069,0.5688888626205151,77,0.7,0.44999999999999996,0.7115145722168001,75,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7692116577734399,33,8.0,0.8222222222222222,0.77681020055176,59,0.85,450,0.7791309655523022,30,997,Moderate (500-1000),0.4010458567980692,0.7567818011705257
Li0-2MnP2O7,4.001,220.8,2408.92,883.5,0.0,0.0181,0.19847726230819707,0.25053405358632325,1.0,0.9977020541858163,0.5744348397808187,61,0.7,0.44999999999999996,0.7156482005714104,63,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7725185604571283,34,8.0,0.8222222222222222,0.7797037403999872,51,0.8,450,0.7766111425650686,38,1127,Good (1000-2000),0.45333869670152854,0.7564632573430038
Li0-2MnP2O7,4.001,220.8,2552.83,883.35,0.0262,0.0401,0.19847726230819707,0.2655010743473314,1.0,0.9915826625701445,0.5780070372667703,51,0.7,0.44999999999999996,0.718310695635741,56,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7746485565085928,35,8.0,0.8222222222222222,0.7815674869450185,45,0.8,450,0.7782086396036667,33,1014,Good (1000-2000),0.40788415124698313,0.7555217776024419
Li0-2Cu3(P2O7)2,4.203,97.04,1451.09,407.88,0.0079,0.0367,0.0872293185434214,0.15091719933355105,1.0,0.9943376583805195,0.5162331381929985,280,0.75,0.575,0.7160182520040022,62,1.0,['⚠️ Voltage near sulfide electrolyte limit'],0.7728146016032018,36,12.0,0.7333333333333334,0.7771949192599443,58,0.9,550,0.7804442845357346,29,639,Moderate (500-1000),0.2570394207562349,0.7548194303731461
Li0-2MnP2O7,4.248,220.8,2644.62,937.93,0.0726,0.0375,0.19847726230819707,0.2750474772078202,1.0,0.9860218876164842,0.580036841881868,47,0.7,0.44999999999999996,0.7198235864516902,54,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.775858869161352,37,8.0,0.8222222222222222,0.782626510516183,43,0.8,450,0.7791163740932363,31,912,Moderate (500-1000),0.3668543845534996,0.7542267346757422
Li0-1MnPO4,3.798,170.87,2155.27,648.91,0.0026,0.0,0.1535951531277248,0.22415378247222612,1.0,0.999669908336084,0.5555954092740116,130,0.7,0.44999999999999996,0.7016064542971816,102,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7612851634377453,38,8.0,0.8222222222222222,0.7698745180080271,75,0.8,450,0.7681860948005312,53,1293,Good (1000-2000),0.5201126307320998,0.7527810809074179
Li0-9Mn21O40,3.857,129.95,2044.72,501.18,0.0437,0.0052,0.11681213875430348,0.21265628997601702,1.0,0.9937917375517356,0.5420686823141413,210,0.7,0.6,0.7290244686542163,41,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.783219574923373,39,8.0,0.8222222222222222,0.7928171280579515,29,0.7,300,0.774636903414752,40,902,Moderate (500-1000),0.36283185840707965,0.7523760494696843
Li0-4Mn5Cu(PO4)6,3.738,114.56,1397.65,428.18,0.0551,0.0673,0.10297805783526746,0.14535929794053962,1.0,0.9844603001294975,0.5170213488604034,275,0.7,0.5833333333333334,0.706189068817706,90,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7649512550541648,40,8.0,0.8222222222222222,0.772844252934299,67,0.8,450,0.7709356635128459,45,981,Moderate (500-1000),0.39460981496379727,0.7521305807125984
Li0-1MnPO4,3.708,170.87,2180.6,633.53,0.0116,0.0205,0.1535951531277248,0.22678816949103187,1.0,0.9959246375339613,0.5558239347593349,127,0.7,0.44999999999999996,0.7017767830595583,101,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7614214264476467,41,8.0,0.8222222222222222,0.7699937481416906,74,0.8,450,0.7682882920579572,52,1216,Good (1000-2000),0.4891391794046661,0.7513175727222345
Li0-2MnP2O7,3.661,220.8,2068.32,808.31,0.0058,0.0797,0.19847726230819707,0.21511075241754155,1.0,0.9891450625904579,0.5625243006908804,100,0.7,0.44999999999999996,0.7067708214048922,88,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7654166571239138,42,8.0,0.8222222222222222,0.7734895749834245,64,0.8,450,0.7712847150651576,44,1077,Good (1000-2000),0.4332260659694288,0.7510189362231398
Li0-1MnPO4,3.518,170.87,2051.52,601.06,0.0,0.0377,0.1535951531277248,0.2133635079676427,1.0,0.9952136708732194,0.5516898913032069,160,0.7,0.44999999999999996,0.6986955227594334,110,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7589564182075468,43,8.0,0.8222222222222222,0.7678368659316033,81,0.8,450,0.7664395358778822,59,1201,Good (1000-2000),0.4831053901850362,0.7494752531111907
Li0-1CrO2,4.059,294.73,4919.11,1196.4,0.1914,0.0016,0.26493298695695167,0.5116004551155782,1.0,0.975497041870858,0.66603793955454,2,0.65,0.55,0.7964234854581123,7,0.8999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Cr may cause interfacial resistance with sulfides', '⚠️ Cr associated with volume change during cycling']",0.8171387883664898,44,12.0,0.7333333333333334,0.8189250112492499,8,0.7,350,0.7886874246082006,23,497,Poor (<500),0.1999195494770716,0.7490410535362431
Li0-1CrO2,4.045,294.73,4889.23,1192.2,0.1846,0.0,0.26493298695695167,0.5084928560582581,1.0,0.9765634918619709,0.665265627336011,3,0.65,0.55,0.7958478516982088,8,0.8999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Cr may cause interfacial resistance with sulfides', '⚠️ Cr associated with volume change during cycling']",0.8166782813585671,45,12.0,0.7333333333333334,0.8185220676173176,10,0.7,350,0.7883420443522585,25,510,Moderate (500-1000),0.20514883346741755,0.7490147008558086
Li4-5Mn2Cu3O10,3.982,54.12,960.89,215.5,0.0742,0.0467,0.04864850288097656,0.09993510234900377,1.0,0.9846507376279106,0.48984026706913186,381,0.7,0.725,0.7213466382768329,50,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7770773106214663,46,8.0,0.8222222222222222,0.7834247896509259,42,0.7,300,0.7700302051883218,47,758,Moderate (500-1000),0.3049074818986323,0.7487659154555703
Li0-1MnO2,3.263,285.49,3762.81,931.64,0.0138,0.0,0.25662714500166295,0.3913421957454598,0.7,0.9982479750146002,0.5412966412262437,215,0.7,0.6,0.7284490369783162,43,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7827592295826529,47,8.0,0.8222222222222222,0.7924143258848212,30,0.65,300,0.7692916444092119,49,972,Moderate (500-1000),0.3909895414320193,0.7484962177829813
Li0-14Mn9(P2O7)8,4.188,189.2,2266.32,792.42,0.0625,0.0358,0.1700720019416254,0.23570327629134888,1.0,0.9875199959373334,0.5613569827634111,106,0.7,0.44999999999999996,0.7059007748207897,92,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7647206198566318,48,8.0,0.8222222222222222,0.7728805423745527,66,0.8,450,0.770762687114696,46,939,Moderate (500-1000),0.37771520514883344,0.7478083698900588
Li0-1MnPO4,3.746,170.87,2159.35,640.17,0.0525,0.0501,0.1535951531277248,0.22457811326720153,1.0,0.9869740751085494,0.5538183335283741,144,0.7,0.44999999999999996,0.7002819319491567,105,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7602255455593254,49,8.0,0.8222222222222222,0.7689473523644096,77,0.8,450,0.7673913813917161,56,1033,Good (1000-2000),0.415526950925181,0.7468895357430596
Li0-3Mn2P5O16,4.054,148.47,1642.8,601.88,0.0035,0.0145,0.1334597786906613,0.17085554656510463,1.0,0.9977147500190438,0.5342788211450532,232,0.7,0.44999999999999996,0.6857183879444899,140,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.748574710355592,50,8.0,0.8222222222222222,0.7587528715611428,99,0.85,450,0.7636532549889161,65,1127,Good (1000-2000),0.45333869670152854,0.7464983510295435
Li0-1MnPO4,3.888,170.87,2165.72,664.4,0.0698,0.0446,0.1535951531277248,0.22524061012112148,1.0,0.9854759667877003,0.5537923663364227,145,0.7,0.44999999999999996,0.7002625776103564,106,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.760210062088285,51,8.0,0.8222222222222222,0.7689338043272493,78,0.8,450,0.7673797687884361,57,1002,Good (1000-2000),0.4030571198712792,0.7462563670209643
Li0-1MnPO4,3.9,170.87,2139.09,666.44,0.0699,0.043,0.1535951531277248,0.22247101966274024,1.0,0.9856664042861133,0.5529900548236703,152,0.7,0.44999999999999996,0.699664584232006,108,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7597316673856047,52,8.0,0.8222222222222222,0.7685152089624041,80,0.8,450,0.7670209727614257,58,1006,Good (1000-2000),0.40466613032984716,0.7460378208547176
Li1-2Ti(PO3)5,3.8,58.7,523.23,223.06,0.0788,0.0524,0.05276546783284044,0.05441730437622334,1.0,0.9833430668054745,0.4770180182918982,433,0.8,0.35,0.6430397270989763,299,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Ti may cause interfacial resistance with sulfides']",0.714431781679181,53,15.0,0.6666666666666667,0.7110206661121405,275,1.0,650,0.7424905029260523,120,1917,Good (1000-2000),0.7711182622687047,0.74549244332959
Li0-1MnO2,3.151,285.49,3690.7,899.67,0.0297,0.04,0.25662714500166295,0.38384256495485247,0.7,0.9911510042404083,0.5379822063729327,224,0.7,0.6,0.7259786622376446,44,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7807829297901157,54,8.0,0.8222222222222222,0.7906850635663512,31,0.65,300,0.7678094195648089,55,860,Moderate (500-1000),0.34593724859211583,0.7450084157706504
Li0-1MnO2,3.15,285.49,3545.71,899.4,0.0151,0.0293,0.25662714500166295,0.3687632213363508,0.7,0.9943630500469746,0.5339402101583671,236,0.7,0.6,0.7229660082582253,48,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7783728066065803,55,8.0,0.8222222222222222,0.7885762057807577,34,0.65,300,0.7660018271771574,62,911,Moderate (500-1000),0.3664521319388576,0.7445278329482776
Li0-1MnPO4,4.206,170.87,2077.05,718.72,0.0849,0.0122,0.1535951531277248,0.21601869551561395,1.0,0.9876723459360638,0.5513552488270249,163,0.7,0.44999999999999996,0.6984461009554448,112,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7587568807643557,56,8.0,0.8222222222222222,0.7676622706688111,82,0.8,450,0.7662898827954889,60,942,Moderate (500-1000),0.37892196299275943,0.7441413708495827
Li0-1MnPO4,4.02,170.87,2264.72,686.97,0.0929,0.0455,0.1535951531277248,0.23553687205802515,1.0,0.9824289668130919,0.5564241949213025,123,0.7,0.44999999999999996,0.7022241798579822,100,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7617793438863857,57,8.0,0.8222222222222222,0.7703069259005874,73,0.8,450,0.7685567301370115,51,846,Moderate (500-1000),0.3403057119871279,0.7440995977505698
